time(s),Base-Fx(kN),Base-Fy(kN),Base-Fz(kN)
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,-87.34187999999989,-8450.968500000003,290.88999999999567
4.0,-1061.2519800000005,-59559.160000000025,-968.9980000000111
5.0,253.14060399999946,11228.36,-1324.204229999998
6.0,-4.025000000000027,71649.98,312.6199999999777
7.0,230.7009000000009,108059.87000000001,1855.5900000000438
8.0,1850.4167299999995,8610.503330000001,-308.00499999999704
9.0,2404.7276999999985,-133267.30999999997,-2377.2820000000174
10.0,816.0611000000001,1404.5926,-595.0841999999993
11.0,-8498.9719,6307.347099999999,92.74439999999896
12.0,-2160.2730000000006,-12909.176000000003,-1448.5555999999979
13.0,6190.307359999998,36923.59999999999,-721.8850000000017
14.0,-3209.0905,-44416.789999999986,-310.43277999999646
15.0,1255.8791999999987,-94748.48999999999,-754.4799999999996
16.0,4376.675900000003,-26178.104610000002,802.7300000000067
17.0,-10560.316999999997,-9922.327,1496.2340000000013
18.0,-3273.443299999997,19103.037999999997,1114.8
19.0,10901.806000000008,151907.54000000007,1392.3600000000115
20.0,-595.4809000000012,51342.80000000001,2842.1199999999953
21.0,2408.6782399999993,-83971.93,-354.3599999999967
22.0,6900.482100000001,-106038.07000000002,1320.7299999999996
23.0,-16203.179900000001,-126467.07000000004,-1663.289999999979
24.0,-5084.79841,26002.71189000001,160.43200000001355
25.0,5609.866899999998,236322.1,3860.429999999993
26.0,1126.1868999999976,99258.78999999998,-4029.5199999999713
27.0,12030.974999999997,-172352.49999999994,-192.5800000000163
28.0,6194.828000000002,-119247.63999999997,-2894.880000000012
29.0,-19829.70400000002,-164315.00000000006,-2937.538000000015
30.0,-12325.367999999993,62440.73899999998,1251.1760000000277
31.0,4320.021140000003,250244.70000000007,-410.8100000000195
32.0,8148.004459999997,145122.52,1392.9900000000089
33.0,12351.023999999996,-202155.02999999997,-3185.2299999999777
34.0,10157.464999999997,-294752.10000000003,792.199999999968
35.0,-19702.758899999997,114904.18980000004,2752.404999999986
36.0,-21008.473949999967,258931.10000000003,6494.200000000012
37.0,9658.769000000004,92757.78999999998,-567.3999999999942
38.0,22488.747600000006,-2634.2931999999973,3149.2369999999964
39.0,846.7546000000007,-213246.30000000005,-3678.0100000000093
40.0,2756.8674399999977,-25580.557800000002,1563.0830000000014
41.0,-14985.537400000007,152678.9399999999,1169.3250000000035
42.0,-19432.755899999996,75141.65,-1652.224000000016
43.0,12301.632999999993,-160917.26999999996,-919.9718000000103
44.0,20077.054000000004,-43650.08500000001,-2414.6585000000014
45.0,-8750.530600000007,30497.819999999978,-1304.6860000000013
46.0,-3637.0811000000026,65527.60000000001,-37.322299999981624
47.0,-793.4121000000007,-43333.81279999999,-464.4017000000058
48.0,-10226.110900000009,-127368.73999999996,-158.20999999999913
49.0,6657.955300000001,-28039.049999999992,1057.6991999999946
50.0,6350.7019699999955,33050.619,2357.330000000008
51.0,-4903.484,150231.73,623.6399999999885
