Time(s),é≤Ç–Ç∏Ç›(ñ≥éüå≥)xëùïùåWêî,é¿å¯ÇÃïΩãœëYê´Ç–Ç∏Ç›(%),é¿å¯ÇÃó›êœëYê´Ç–Ç∏Ç›(%),ê‚ëŒílç≈ëÂé≤Ç–Ç∏Ç›(%),çúäiî‰,îÊòJîjâÛÇ™ê∂Ç∂ÇÈó›êœëYê´Ç–Ç∏Ç›(%),îªíË(1:îÊòJîjâÛ),É}ÉCÉiÅ[ë•Ç≈ï]âøÇµÇΩéûÇÃëπèùìxD
0.13,-1.36e-06,0.0,0.0,0.000528,0.0,99999999999.9,0,0.0
0.14,-5.28e-06,0.0,0.0,0.000528,0.0,99999999999.9,0,0.0
0.19,-1.36e-06,0.0,0.0,0.000528,0.0,99999999999.9,0,0.0
0.25,-9.11e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.28,-5.28e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.31,-9.11e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.37,-1.36e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.42,-9.11e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.49,-1.36e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.53,-9.11e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.55,-1.36e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.6,-9.11e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.64,-1.36e-06,0.0,0.0,0.0009109999999999999,0.0,99999999999.9,0,0.0
0.8,-4.01e-05,0.0,0.0,0.00401,0.0,99999999999.9,0,0.0
0.82,-3.62e-05,0.0,0.0,0.00401,0.0,99999999999.9,0,0.0
1.06,-0.00010988,0.0,0.0,0.010988,0.0,99999999999.9,0,0.0
1.07,-0.000109785,0.0,0.0,0.010988,0.0,99999999999.9,0,0.0
1.5,-0.000241585,0.0,0.0,0.0241585,0.0,99999999999.9,0,0.0
1.51,-0.000237658,0.0,0.0,0.0241585,0.0,99999999999.9,0,0.0
1.56,-0.000249248,0.0,0.0,0.024924799999999997,0.0,99999999999.9,0,0.0
1.57,-0.000245417,0.0,0.0,0.024924799999999997,0.0,99999999999.9,0,0.0
1.62,-0.00027262,0.0,0.0,0.027262,0.0,99999999999.9,0,0.0
1.63,-0.000268693,0.0,0.0,0.027262,0.0,99999999999.9,0,0.0
1.75,-0.00030739,0.0,0.0,0.030739,0.0,99999999999.9,0,0.0
1.76,-0.000303463,0.0,0.0,0.030739,0.0,99999999999.9,0,0.0
1.95,-0.000357773,0.0,0.0,0.0357773,0.0,99999999999.9,0,0.0
1.96,-0.000353846,0.0,0.0,0.0357773,0.0,99999999999.9,0,0.0
2.01,-0.000377217,0.0,0.0,0.0377217,0.0,99999999999.9,0,0.0
2.03,-0.00037329,0.0,0.0,0.0377217,0.0,99999999999.9,0,0.0
2.07,-0.000388712,0.0,0.0,0.0388712,0.0,99999999999.9,0,0.0
2.1,-0.00038488,0.0,0.0,0.0388712,0.0,99999999999.9,0,0.0
2.76,-0.000543788,0.0,0.0,0.054378800000000005,0.0,99999999999.9,0,0.0
2.79,-0.000539861,0.0,0.0,0.054378800000000005,0.0,99999999999.9,0,0.0
2.95,-0.000605761,0.0,0.0,0.0605761,0.0,99999999999.9,0,0.0
2.96,-0.00060193,0.0,0.0,0.0605761,0.0,99999999999.9,0,0.0
3.11,-0.000640627,0.0,0.0,0.0640627,0.0,99999999999.9,0,0.0
3.12,-0.000640532,0.0,0.0,0.0640627,0.0,99999999999.9,0,0.0
3.42,-0.000725876,0.0,0.0,0.0725876,0.0,99999999999.9,0,0.0
3.45,-0.000722045,0.0,0.0,0.0725876,0.0,99999999999.9,0,0.0
