Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
0,0,0,0,0,0,0,0,0,0,0,0,
           1,           1,       0.6000000000000000,       0.0033333333333333,       0.6000000000000000,     0.30000E-01,     0.30000E+02,     0.10000E+07,     0.30000E-01,     0.30000E-01,     0.30000E+02,           1,
           1,           2,       0.6000000000000000,       0.0066666666666667,       1.2000000000000000,     0.60000E-01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.60000E-01,     0.50000E+02,           2,
           1,           3,       0.6000000000000000,       0.0100000000000000,       1.7999999999999998,     0.90000E-01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.90000E-01,     0.50000E+02,           2,
           1,           4,       0.6000000000000000,       0.0133333333333333,       2.3999999999999999,     0.12000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.12000E+00,     0.50000E+02,           2,
           1,           5,       0.6000000000000000,       0.0166666666666667,       3.0000000000000000,     0.15000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.15000E+00,     0.50000E+02,           2,
           1,           6,       0.6000000000000000,       0.0200000000000000,       3.6000000000000001,     0.18000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.18000E+00,     0.50000E+02,           2,
           1,           7,       0.6000000000000000,       0.0233333333333333,       4.2000000000000002,     0.21000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.21000E+00,     0.50000E+02,           2,
           1,           8,       0.6000000000000000,       0.0266666666666667,       4.7999999999999998,     0.24000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.24000E+00,     0.50000E+02,           2,
           1,           9,       0.6000000000000000,       0.0300000000000000,       5.3999999999999995,     0.27000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.27000E+00,     0.50000E+02,           2,
           1,          10,       0.6000000000000000,       0.0333333333333333,       5.9999999999999991,     0.30000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.30000E+00,     0.50000E+02,           2,
           1,          11,       0.6000000000000000,       0.0366666666666667,       6.5999999999999988,     0.33000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.33000E+00,     0.50000E+02,           2,
           1,          12,       0.6000000000000000,       0.0400000000000000,       7.1999999999999984,     0.36000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.36000E+00,     0.50000E+02,           2,
           1,          13,       0.6000000000000000,       0.0433333333333333,       7.7999999999999980,     0.39000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.39000E+00,     0.50000E+02,           2,
           1,          14,       0.6000000000000000,       0.0466666666666667,       8.3999999999999986,     0.42000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.42000E+00,     0.50000E+02,           2,
           1,          15,       0.6000000000000000,       0.0500000000000000,       8.9999999999999982,     0.45000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.45000E+00,     0.50000E+02,           2,
           1,          16,       0.6000000000000000,       0.0533333333333333,       9.5999999999999979,     0.48000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.48000E+00,     0.50000E+02,           2,
           1,          17,       0.6000000000000000,       0.0566666666666667,      10.1999999999999975,     0.51000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.51000E+00,     0.50000E+02,           2,
           1,          18,       0.6000000000000000,       0.0600000000000000,      10.7999999999999972,     0.54000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.54000E+00,     0.50000E+02,           2,
           1,          19,       0.6000000000000000,       0.0633333333333333,      11.3999999999999968,     0.57000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.57000E+00,     0.50000E+02,           2,
           1,          20,       0.6000000000000000,       0.0666666666666667,      11.9999999999999964,     0.60000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.60000E+00,     0.50000E+02,           2,
           1,          21,       0.6000000000000000,       0.0700000000000000,      12.5999999999999961,     0.63000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.63000E+00,     0.50000E+02,           2,
           1,          22,       0.6000000000000000,       0.0733333333333333,      13.1999999999999957,     0.66000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.66000E+00,     0.50000E+02,           2,
           1,          23,       0.6000000000000000,       0.0766666666666666,      13.7999999999999954,     0.69000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.69000E+00,     0.50000E+02,           2,
           1,          24,       0.6000000000000000,       0.0800000000000000,      14.3999999999999950,     0.72000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.72000E+00,     0.50000E+02,           2,
           1,          25,       0.6000000000000000,       0.0833333333333333,      14.9999999999999947,     0.75000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.75000E+00,     0.50000E+02,           2,
           1,          26,       0.6000000000000000,       0.0866666666666666,      15.5999999999999943,     0.78000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.78000E+00,     0.50000E+02,           2,
           1,          27,       0.6000000000000000,       0.0900000000000000,      16.1999999999999957,     0.81000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.81000E+00,     0.50000E+02,           2,
           1,          28,       0.6000000000000000,       0.0933333333333333,      16.7999999999999972,     0.84000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.84000E+00,     0.50000E+02,           2,
           1,          29,       0.6000000000000000,       0.0966666666666666,      17.3999999999999986,     0.87000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.87000E+00,     0.50000E+02,           2,
           1,          30,       0.6000000000000000,       0.0999999999999999,      18.0000000000000000,     0.90000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.90000E+00,     0.50000E+02,           2,
           1,          31,       0.6000000000000000,       0.1033333333333333,      18.6000000000000014,     0.93000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.93000E+00,     0.50000E+02,           2,
           1,          32,       0.6000000000000000,       0.1066666666666666,      19.2000000000000028,     0.96000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.96000E+00,     0.50000E+02,           2,
           1,          33,       0.6000000000000000,       0.1099999999999999,      19.8000000000000043,     0.99000E+00,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.99000E+00,     0.50000E+02,           2,
