Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
0,0,0,0,0,0,0,0,0,0,0,0,
           1,           1,       5.5555555555555562,       0.0033333333333333,       5.5555555555555562,     0.33333E-01,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.33333E-01,     0.60000E+01,           2,
           1,           2,       5.5555555555555562,       0.0066666666666667,      11.1111111111111125,     0.66667E-01,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.66667E-01,     0.60000E+01,           2,
           1,           3,       5.5555555555555562,       0.0100000000000000,      16.6666666666666679,     0.10000E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.10000E+00,     0.60000E+01,           2,
           1,           4,       5.5555555555555562,       0.0133333333333333,      22.2222222222222250,     0.13333E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.13333E+00,     0.60000E+01,           2,
           1,           5,       5.5555555555555562,       0.0166666666666667,      27.7777777777777821,     0.16667E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.16667E+00,     0.60000E+01,           2,
           1,           6,       5.5555555555555562,       0.0200000000000000,      33.3333333333333357,     0.20000E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.20000E+00,     0.60000E+01,           2,
           1,           7,       5.5555555555555562,       0.0233333333333333,      38.8888888888888928,     0.23333E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.23333E+00,     0.60000E+01,           2,
           1,           8,       5.5555555555555562,       0.0266666666666667,      44.4444444444444500,     0.26667E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.26667E+00,     0.60000E+01,           2,
           1,           9,       5.5555555555555562,       0.0300000000000000,      50.0000000000000071,     0.30000E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.30000E+00,     0.60000E+01,           2,
           1,          10,       5.5555555555555562,       0.0333333333333333,      55.5555555555555642,     0.33333E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.33333E+00,     0.60000E+01,           2,
           1,          11,       5.5555555555555562,       0.0366666666666667,      61.1111111111111214,     0.36667E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.36667E+00,     0.60000E+01,           2,
           1,          12,       5.5555555555555562,       0.0400000000000000,      66.6666666666666714,     0.40000E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.40000E+00,     0.60000E+01,           2,
           1,          13,       5.5555555555555562,       0.0433333333333333,      72.2222222222222285,     0.43333E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.43333E+00,     0.60000E+01,           2,
           1,          14,       5.5555555555555562,       0.0466666666666667,      77.7777777777777857,     0.46667E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.46667E+00,     0.60000E+01,           2,
           1,          15,       5.5555555555555562,       0.0500000000000000,      83.3333333333333428,     0.50000E+00,     0.60000E+01,     0.10000E+00,     0.33333E-01,     0.50000E+00,     0.60000E+01,           2,
           1,          16,       5.5555555555555562,       0.0533333333333333,      88.8888888888888999,     0.53333E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.53333E+00,     0.60001E+01,           2,
           1,          17,       5.5555555555555562,       0.0566666666666667,      94.4444444444444571,     0.56667E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.56667E+00,     0.60001E+01,           2,
           1,          18,       5.5555555555555562,       0.0600000000000000,     100.0000000000000142,     0.60000E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.60000E+00,     0.60001E+01,           2,
           1,          19,       5.5555555555555562,       0.0633333333333333,     105.5555555555555713,     0.63333E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.63333E+00,     0.60001E+01,           2,
           1,          20,       5.5555555555555562,       0.0666666666666667,     111.1111111111111285,     0.66667E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.66667E+00,     0.60001E+01,           2,
           1,          21,       5.5555555555555562,       0.0700000000000000,     116.6666666666666856,     0.70000E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.70000E+00,     0.60001E+01,           2,
           1,          22,       5.5555555555555562,       0.0733333333333333,     122.2222222222222427,     0.73333E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.73333E+00,     0.60001E+01,           2,
           1,          23,       5.5555555555555562,       0.0766666666666666,     127.7777777777777999,     0.76667E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.76667E+00,     0.60001E+01,           2,
           1,          24,       5.5555555555555562,       0.0800000000000000,     133.3333333333333428,     0.80000E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.80000E+00,     0.60001E+01,           2,
           1,          25,       5.5555555555555562,       0.0833333333333333,     138.8888888888888857,     0.83333E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.83333E+00,     0.60001E+01,           2,
           1,          26,       5.5555555555555562,       0.0866666666666666,     144.4444444444444287,     0.86667E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.86667E+00,     0.60001E+01,           2,
           1,          27,       5.5555555555555562,       0.0900000000000000,     149.9999999999999716,     0.90000E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.90000E+00,     0.60001E+01,           2,
           1,          28,       5.5555555555555562,       0.0933333333333333,     155.5555555555555145,     0.93333E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.93333E+00,     0.60001E+01,           2,
           1,          29,       5.5555555555555562,       0.0966666666666666,     161.1111111111110574,     0.96667E+00,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.96667E+00,     0.60001E+01,           2,
           1,          30,       5.5555555555555562,       0.0999999999999999,     166.6666666666666003,     0.10000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.10000E+01,     0.60001E+01,           2,
           1,          31,       5.5555555555555562,       0.1033333333333333,     172.2222222222221433,     0.10333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.10333E+01,     0.60001E+01,           2,
           1,          32,       5.5555555555555562,       0.1066666666666666,     177.7777777777776862,     0.10667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.10667E+01,     0.60001E+01,           2,
           1,          33,       5.5555555555555562,       0.1099999999999999,     183.3333333333332291,     0.11000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.11000E+01,     0.60001E+01,           2,
           1,          34,       5.5555555555555562,       0.1133333333333332,     188.8888888888887720,     0.11333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.11333E+01,     0.60001E+01,           2,
           1,          35,       5.5555555555555562,       0.1166666666666666,     194.4444444444443150,     0.11667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.11667E+01,     0.60001E+01,           2,
           1,          36,       5.5555555555555562,       0.1199999999999999,     199.9999999999998579,     0.12000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.12000E+01,     0.60001E+01,           2,
           1,          37,       5.5555555555555562,       0.1233333333333332,     205.5555555555554008,     0.12333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.12333E+01,     0.60001E+01,           2,
           1,          38,       5.5555555555555562,       0.1266666666666666,     211.1111111111109437,     0.12667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.12667E+01,     0.60001E+01,           2,
           1,          39,       5.5555555555555562,       0.1299999999999999,     216.6666666666664867,     0.13000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.13000E+01,     0.60001E+01,           2,
           1,          40,       5.5555555555555562,       0.1333333333333332,     222.2222222222220296,     0.13333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.13333E+01,     0.60001E+01,           2,
           1,          41,       5.5555555555555562,       0.1366666666666665,     227.7777777777775725,     0.13667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.13667E+01,     0.60001E+01,           2,
           1,          42,       5.5555555555555562,       0.1399999999999999,     233.3333333333331154,     0.14000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.14000E+01,     0.60001E+01,           2,
           1,          43,       5.5555555555555562,       0.1433333333333332,     238.8888888888886584,     0.14333E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.14333E+01,     0.60001E+01,           2,
           1,          44,       5.5555555555555562,       0.1466666666666665,     244.4444444444442013,     0.14667E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.14667E+01,     0.60001E+01,           2,
           1,          45,       5.5555555555555562,       0.1499999999999999,     249.9999999999997442,     0.15000E+01,     0.60001E+01,     0.10000E+00,     0.33333E-01,     0.15000E+01,     0.60001E+01,           2,
           1,          46,       5.5555555555555562,       0.1533333333333332,     255.5555555555552871,     0.15333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.15333E+01,     0.60002E+01,           2,
           1,          47,       5.5555555555555562,       0.1566666666666665,     261.1111111111108585,     0.15667E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.15667E+01,     0.60002E+01,           2,
           1,          48,       5.5555555555555562,       0.1599999999999998,     266.6666666666664014,     0.16000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.16000E+01,     0.60002E+01,           2,
           1,          49,       5.5555555555555562,       0.1633333333333332,     272.2222222222219443,     0.16333E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.16333E+01,     0.60002E+01,           2,
